datetime, albedo, sky, ground, has_fix, latitude, longitude, altitude, satelites, hdop #, gps_data
2017-07-20 18:30:38.000000, 0.7657142857142857, 0.13671875, 0.1046875, true, 42.40503, -85.40069833333334, 266.3, 6, 1.51 #, %XGPS.GpsData{altitude: {266.3, :meter}, angle: 329.07, date: ~D[2017-07-20], fix_quality: 1, geoidheight: {-34.1, :meter}, has_fix: true, hdop: 1.51, latitude: 42.40503, longitude: -85.40069833333334, magvariation: nil, satelites: 6, speed: 0.38892, time: ~T[18:30:38.000000]}
2017-07-20 18:30:39.000000, , 0.0, 0.1046875, true, 42.405031666666666, -85.40069833333334, 266.3, 6, 1.52 #, %XGPS.GpsData{altitude: {266.3, :meter}, angle: 24.07, date: ~D[2017-07-20], fix_quality: 1, geoidheight: {-34.1, :meter}, has_fix: true, hdop: 1.52, latitude: 42.405031666666666, longitude: -85.40069833333334, magvariation: nil, satelites: 6, speed: 0.2778, time: ~T[18:30:39.000000]}
2017-07-20 18:30:40.000000, 0.7657142857142857, 0.13671875, 0.1046875, true, 42.405031666666666, -85.40069666666666, 266.3, 6, 1.52 #, %XGPS.GpsData{altitude: {266.3, :meter}, angle: 83.66, date: ~D[2017-07-20], fix_quality: 1, geoidheight: {-34.1, :meter}, has_fix: true, hdop: 1.52, latitude: 42.405031666666666, longitude: -85.40069666666666, magvariation: nil, satelites: 6, speed: 0.2778, time: ~T[18:30:40.000000]}
2017-07-20 18:30:42.000000, 0.7657142857142857, 0.13671875, 0.1046875, true, 42.405031666666666, -85.40069666666666, 266.3, 6, 1.51 #, %XGPS.GpsData{altitude: {266.3, :meter}, angle: 185.59, date: ~D[2017-07-20], fix_quality: 1, geoidheight: {-34.1, :meter}, has_fix: true, hdop: 1.51, latitude: 42.405031666666666, longitude: -85.40069666666666, magvariation: nil, satelites: 6, speed: 0.07408000000000001, time: ~T[18:30:42.000000]}
2017-07-20 18:30:43.000000, , 0.0, 0.1046875, true, 42.405031666666666, -85.40069666666666, 266.3, 6, 1.51 #, %XGPS.GpsData{altitude: {266.3, :meter}, angle: 269.45, date: ~D[2017-07-20], fix_quality: 1, geoidheight: {-34.1, :meter}, has_fix: true, hdop: 1.51, latitude: 42.405031666666666, longitude: -85.40069666666666, magvariation: nil, satelites: 6, speed: 0.18520000000000003, time: ~T[18:30:43.000000]}
2017-07-20 18:30:44.000000, 0.7657142857142857, 0.13671875, 0.1046875, true, 42.405031666666666, -85.40069833333334, 266.3, 6, 1.52 #, %XGPS.GpsData{altitude: {266.3, :meter}, angle: 274.8, date: ~D[2017-07-20], fix_quality: 1, geoidheight: {-34.1, :meter}, has_fix: true, hdop: 1.52, latitude: 42.405031666666666, longitude: -85.40069833333334, magvariation: nil, satelites: 6, speed: 0.42596000000000006, time: ~T[18:30:44.000000]}
2017-07-20 18:30:45.000000, 0.7657142857142857, 0.13671875, 0.1046875, true, 42.405033333333336, -85.40070166666666, 266.3, 6, 1.52 #, %XGPS.GpsData{altitude: {266.3, :meter}, angle: 289.47, date: ~D[2017-07-20], fix_quality: 1, geoidheight: {-34.1, :meter}, has_fix: true, hdop: 1.52, latitude: 42.405033333333336, longitude: -85.40070166666666, magvariation: nil, satelites: 6, speed: 0.6482, time: ~T[18:30:45.000000]}
2017-07-20 18:30:47.000000, 0.7657142857142857, 0.13671875, 0.1046875, true, 42.405033333333336, -85.40070333333334, 266.3, 6, 1.52 #, %XGPS.GpsData{altitude: {266.3, :meter}, angle: 313.29, date: ~D[2017-07-20], fix_quality: 1, geoidheight: {-34.1, :meter}, has_fix: true, hdop: 1.52, latitude: 42.405033333333336, longitude: -85.40070333333334, magvariation: nil, satelites: 6, speed: 0.8519200000000001, time: ~T[18:30:47.000000]}
2017-07-20 18:30:48.000000, 0.7657142857142857, 0.13671875, 0.1046875, true, 42.405035, -85.400705, 266.3, 6, 1.51 #, %XGPS.GpsData{altitude: {266.3, :meter}, angle: 321.32, date: ~D[2017-07-20], fix_quality: 1, geoidheight: {-34.1, :meter}, has_fix: true, hdop: 1.51, latitude: 42.405035, longitude: -85.400705, magvariation: nil, satelites: 6, speed: 0.926, time: ~T[18:30:48.000000]}
2017-07-20 18:30:49.000000, 0.7657142857142857, 0.13671875, 0.1046875, true, 42.40503833333333, -85.40070666666666, 266.3, 6, 1.52 #, %XGPS.GpsData{altitude: {266.3, :meter}, angle: 332.16, date: ~D[2017-07-20], fix_quality: 1, geoidheight: {-34.1, :meter}, has_fix: true, hdop: 1.52, latitude: 42.40503833333333, longitude: -85.40070666666666, magvariation: nil, satelites: 6, speed: 0.8334, time: ~T[18:30:49.000000]}
2017-07-20 18:30:51.000000, , 0.0, 0.1046875, true, 42.40504166666667, -85.40070833333333, 266.3, 6, 1.98 #, %XGPS.GpsData{altitude: {266.3, :meter}, angle: 347.11, date: ~D[2017-07-20], fix_quality: 1, geoidheight: {-34.1, :meter}, has_fix: true, hdop: 1.98, latitude: 42.40504166666667, longitude: -85.40070833333333, magvariation: nil, satelites: 6, speed: 0.75932, time: ~T[18:30:51.000000]}
